20 20
0 20 100000
100000 20 100000
150000 20 100000
200000 20 100000
250000 20 100000
300000 20 100000
350000 20 100000
400000 20 100000
450000 20 100000
500000 20 100000
550000 20 100000
600000 20 100000
650000 20 100000
700000 20 100000
750000 20 100000
800000 20 100000
850000 20 100000
900000 20 100000
950000 20 100000
1000000 20 100000
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
255 0 0 255
